22.0580000877: Attitude:pitch=-0.067441470921,yaw=-1.83600878716,roll=0.150158375502
22.1589999199: Attitude:pitch=-0.067441470921,yaw=-1.83600878716,roll=0.150158375502
22.260999918: Attitude:pitch=-0.0343511477113,yaw=-1.95498263836,roll=0.0808868929744
22.3619999886: Attitude:pitch=-0.0343511477113,yaw=-1.95498263836,roll=0.0808868929744
22.4630000591: Attitude:pitch=-0.0343511477113,yaw=-1.95498263836,roll=0.0808868929744
22.5639998913: Attitude:pitch=0.000347513705492,yaw=-1.99364769459,roll=0.106175720692
22.6649999619: Attitude:pitch=0.000347513705492,yaw=-1.99364769459,roll=0.106175720692
22.7660000324: Attitude:pitch=0.0237148050219,yaw=-2.25157499313,roll=0.18596252799
22.8669998646: Attitude:pitch=0.0237148050219,yaw=-2.25157499313,roll=0.18596252799
22.9679999352: Attitude:pitch=0.0237148050219,yaw=-2.25157499313,roll=0.18596252799
23.0690000057: Attitude:pitch=0.0311270002276,yaw=-2.43072199821,roll=0.158844903111
23.1700000763: Attitude:pitch=0.0311270002276,yaw=-2.43072199821,roll=0.158844903111
23.2709999084: Attitude:pitch=0.0311270002276,yaw=-2.43072199821,roll=0.158844903111
23.371999979: Attitude:pitch=-0.0301979649812,yaw=-2.45183563232,roll=0.121008694172
23.4730000496: Attitude:pitch=-0.0301979649812,yaw=-2.45183563232,roll=0.121008694172
23.5739998817: Attitude:pitch=-0.0301979649812,yaw=-2.45183563232,roll=0.121008694172
23.6749999523: Attitude:pitch=-0.0325182154775,yaw=-2.54590249062,roll=0.14006114006
23.7760000229: Attitude:pitch=-0.0325182154775,yaw=-2.54590249062,roll=0.14006114006
23.8770000935: Attitude:pitch=-0.0325182154775,yaw=-2.54590249062,roll=0.14006114006
23.9790000916: Attitude:pitch=-0.0319775007665,yaw=-2.42011475563,roll=0.222571283579
24.0799999237: Attitude:pitch=-0.0319775007665,yaw=-2.42011475563,roll=0.222571283579
24.1809999943: Attitude:pitch=-0.0319775007665,yaw=-2.42011475563,roll=0.222571283579
24.2820000648: Attitude:pitch=-0.0262896101922,yaw=-2.24185848236,roll=0.226870432496
24.382999897: Attitude:pitch=-0.0262896101922,yaw=-2.24185848236,roll=0.226870432496
24.4839999676: Attitude:pitch=-0.0262896101922,yaw=-2.24185848236,roll=0.226870432496
24.5850000381: Attitude:pitch=0.0362556874752,yaw=-2.22168326378,roll=0.276184290648
24.6859998703: Attitude:pitch=0.0362556874752,yaw=-2.22168326378,roll=0.276184290648
24.7879998684: Attitude:pitch=0.0362556874752,yaw=-2.22168326378,roll=0.276184290648
24.888999939: Attitude:pitch=-0.0238700900227,yaw=-2.18883991241,roll=0.288192093372
24.9900000095: Attitude:pitch=-0.0238700900227,yaw=-2.18883991241,roll=0.288192093372
25.0920000076: Attitude:pitch=-0.0235975831747,yaw=-2.19906759262,roll=0.230255767703
25.1930000782: Attitude:pitch=-0.0235975831747,yaw=-2.19906759262,roll=0.230255767703
25.2939999104: Attitude:pitch=-0.0235975831747,yaw=-2.19906759262,roll=0.230255767703
25.3949999809: Attitude:pitch=0.0184784047306,yaw=-2.1777586937,roll=0.186779528856
25.4960000515: Attitude:pitch=0.0184784047306,yaw=-2.1777586937,roll=0.186779528856
25.5969998837: Attitude:pitch=0.0184784047306,yaw=-2.1777586937,roll=0.186779528856
25.6979999542: Attitude:pitch=0.0256988946348,yaw=-2.16984248161,roll=0.202991887927
25.7999999523: Attitude:pitch=0.0256988946348,yaw=-2.16984248161,roll=0.202991887927
25.9010000229: Attitude:pitch=0.0256988946348,yaw=-2.16984248161,roll=0.202991887927
26.0009999275: Attitude:pitch=0.064304433763,yaw=-2.12500047684,roll=0.267814576626
26.1019999981: Attitude:pitch=0.064304433763,yaw=-2.12500047684,roll=0.267814576626
26.2030000687: Attitude:pitch=0.064304433763,yaw=-2.12500047684,roll=0.267814576626
26.3050000668: Attitude:pitch=0.0118015874177,yaw=-2.17136573792,roll=0.341472625732
26.4059998989: Attitude:pitch=0.0118015874177,yaw=-2.17136573792,roll=0.341472625732
26.5069999695: Attitude:pitch=0.0118015874177,yaw=-2.17136573792,roll=0.341472625732
26.6080000401: Attitude:pitch=0.0162869449705,yaw=-2.16490793228,roll=0.379739701748
26.7089998722: Attitude:pitch=0.0162869449705,yaw=-2.16490793228,roll=0.379739701748
26.8099999428: Attitude:pitch=0.0162869449705,yaw=-2.16490793228,roll=0.379739701748
26.9110000134: Attitude:pitch=-0.0105164609849,yaw=-2.15782499313,roll=0.321232914925
27.0120000839: Attitude:pitch=-0.0105164609849,yaw=-2.15782499313,roll=0.321232914925
27.1129999161: Attitude:pitch=-0.0105164609849,yaw=-2.15782499313,roll=0.321232914925
27.2139999866: Attitude:pitch=0.0030915972311,yaw=-2.19879603386,roll=0.310864657164
27.3150000572: Attitude:pitch=0.0030915972311,yaw=-2.19879603386,roll=0.310864657164
27.4159998894: Attitude:pitch=0.0030915972311,yaw=-2.19879603386,roll=0.310864657164
27.5179998875: Attitude:pitch=0.111194066703,yaw=-2.24480819702,roll=0.341948270798
27.618999958: Attitude:pitch=0.111194066703,yaw=-2.24480819702,roll=0.341948270798
27.7200000286: Attitude:pitch=0.0709802210331,yaw=-2.26125454903,roll=0.232273951173
27.8209998608: Attitude:pitch=0.0709802210331,yaw=-2.26125454903,roll=0.232273951173
27.9219999313: Attitude:pitch=0.0709802210331,yaw=-2.26125454903,roll=0.232273951173
28.0230000019: Attitude:pitch=0.131489053369,yaw=-2.15675735474,roll=0.172461494803
28.1240000725: Attitude:pitch=0.131489053369,yaw=-2.15675735474,roll=0.172461494803
28.2249999046: Attitude:pitch=0.131489053369,yaw=-2.15675735474,roll=0.172461494803
28.3259999752: Attitude:pitch=0.19142895937,yaw=-2.2029042244,roll=0.175765573978
28.4270000458: Attitude:pitch=0.19142895937,yaw=-2.2029042244,roll=0.175765573978
28.5279998779: Attitude:pitch=0.19142895937,yaw=-2.2029042244,roll=0.175765573978
28.629999876: Attitude:pitch=0.192771285772,yaw=-2.28153371811,roll=0.327533304691
28.7309999466: Attitude:pitch=0.192771285772,yaw=-2.28153371811,roll=0.327533304691
28.8320000172: Attitude:pitch=0.192771285772,yaw=-2.28153371811,roll=0.327533304691
28.9330000877: Attitude:pitch=0.182371035218,yaw=-2.16050696373,roll=0.333431720734
29.0339999199: Attitude:pitch=0.182371035218,yaw=-2.16050696373,roll=0.333431720734
29.1349999905: Attitude:pitch=0.182371035218,yaw=-2.16050696373,roll=0.333431720734
29.236000061: Attitude:pitch=0.107184164226,yaw=-1.71055221558,roll=0.20520824194
29.3369998932: Attitude:pitch=0.107184164226,yaw=-1.71055221558,roll=0.20520824194
29.4379999638: Attitude:pitch=0.107184164226,yaw=-1.71055221558,roll=0.20520824194
29.5399999619: Attitude:pitch=0.0628124922514,yaw=-1.73604333401,roll=0.0506916046143
29.6410000324: Attitude:pitch=0.0628124922514,yaw=-1.73604333401,roll=0.0506916046143
29.7419998646: Attitude:pitch=0.0628124922514,yaw=-1.73604333401,roll=0.0506916046143
29.8429999352: Attitude:pitch=0.12447373569,yaw=-2.05533099174,roll=0.0618581920862
29.9440000057: Attitude:pitch=0.12447373569,yaw=-2.05533099174,roll=0.0618581920862
30.0450000763: Attitude:pitch=0.164922207594,yaw=-2.3653793335,roll=0.194001838565
30.1470000744: Attitude:pitch=0.164922207594,yaw=-2.3653793335,roll=0.194001838565
30.2479999065: Attitude:pitch=0.164922207594,yaw=-2.3653793335,roll=0.194001838565
30.3489999771: Attitude:pitch=0.19729501009,yaw=-2.25108575821,roll=0.270103633404
30.4500000477: Attitude:pitch=0.19729501009,yaw=-2.25108575821,roll=0.270103633404
30.5509998798: Attitude:pitch=0.19729501009,yaw=-2.25108575821,roll=0.270103633404
